iter	Passed	Remaining
0	14	7357
1	31	7844
2	46	7708
3	61	7660
4	76	7540
5	92	7599
6	98	6909
7	110	6780
8	125	6851
9	135	6662
10	151	6737
11	165	6733
12	179	6718
13	194	6739
14	205	6652
15	214	6499
16	227	6474
17	236	6342
18	251	6362
19	264	6352
20	278	6362
21	294	6399
22	309	6416
23	321	6378
24	333	6342
25	348	6348
26	363	6365
27	377	6365
28	392	6370
29	406	6369
30	421	6372
31	437	6393
32	452	6396
33	467	6409
34	482	6410
35	497	6416
36	512	6419
37	525	6386
38	539	6374
39	553	6362
40	567	6352
41	578	6306
42	593	6306
43	605	6279
44	620	6274
45	636	6281
46	651	6283
47	667	6284
48	681	6276
49	696	6272
50	707	6229
51	717	6184
52	733	6182
53	738	6103
54	754	6107
55	776	6159
56	789	6138
57	806	6147
58	823	6156
59	840	6160
60	855	6156
61	869	6144
62	884	6136
63	899	6125
64	914	6119
65	928	6108
66	940	6079
67	955	6071
68	971	6070
69	986	6060
70	1001	6051
71	1016	6043
72	1031	6035
73	1047	6030
74	1062	6022
75	1077	6013
76	1092	6003
77	1107	5991
78	1120	5970
79	1134	5955
80	1149	5945
81	1164	5934
82	1179	5926
83	1189	5890
84	1203	5877
85	1213	5841
86	1228	5832
87	1242	5815
88	1257	5806
89	1269	5782
90	1283	5769
91	1299	5762
92	1315	5755
93	1330	5745
94	1345	5736
95	1361	5727
96	1376	5718
97	1384	5678
98	1394	5648
99	1409	5637
100	1418	5603
101	1433	5594
102	1441	5556
103	1455	5542
104	1469	5529
105	1480	5503
106	1494	5489
107	1509	5479
108	1521	5458
109	1536	5449
110	1548	5426
111	1562	5412
112	1576	5397
113	1591	5388
114	1605	5373
115	1619	5362
116	1634	5351
117	1649	5339
118	1664	5327
119	1672	5296
120	1684	5275
121	1699	5265
122	1714	5254
123	1722	5223
124	1736	5209
125	1751	5199
126	1766	5188
127	1781	5177
128	1795	5162
129	1809	5150
130	1819	5124
131	1833	5111
132	1847	5098
133	1856	5069
134	1869	5054
135	1881	5036
136	1892	5013
137	1906	5001
138	1921	4990
139	1936	4979
140	1951	4968
141	1966	4957
142	1980	4944
143	1988	4916
144	2004	4907
145	2020	4898
146	2030	4875
147	2044	4863
148	2060	4852
149	2074	4839
150	2088	4826
151	2102	4814
152	2118	4803
153	2123	4771
154	2137	4757
155	2152	4746
156	2166	4733
157	2174	4707
158	2189	4696
159	2204	4683
160	2217	4669
161	2232	4657
162	2247	4647
